CALLE;PUNTO;long;lat;LARGO;ANCHO;Fallas;Longitudinal;Transversal;Oblicua;Esquina;Long. Incom.;Trans. Incom;O-sin definir;E-sin definir;long grados;lat grados
OHIGGINS;-460;650091;5591323;4.96;8.85;0;0;0;0;0;0;0;0;0;-73.2464444444445;-39.8148333333333
LETELIER;0;650181;5591451;7.01;10.53;6;0;3;1;1;0;0;1;0;-73.2454166666667;-39.8136666666666
LETELIER;-10;650167;5591445;10.82;11.93;9;0;7;1;0;0;1;0;0;-73.2455833333333;-39.8137222222222
LETELIER;-30;650150;5591449;11.02;11.93;11;0;7;0;0;2;1;1;0;-73.2457777777777;-39.8136944444444
ARAUCO;0;650497;5591189;4.5;9.16;0;0;0;0;0;0;0;0;0;-73.2416666666667;-39.8159722222222
ARAUCO;-10;650483;5591189;4.59;9;2;0;2;0;0;0;0;0;0;-73.2418333333333;-39.8159722222222
ARAUCO;-30;650467;5591199;4.31;9.03;0;0;0;0;0;0;0;0;0;-73.2420277777778;-39.8158888888888
ARAUCO;-50;650448;5591202;3;9.04;1;0;0;0;1;0;0;0;0;-73.2422500000000;-39.8158611111111
ARAUCO;-70;650429;5591202;5.32;9.01;1;0;1;0;0;0;0;0;0;-73.2424722222222;-39.8158611111111
ARAUCO;-90;650410;5591209;5.02;8.96;6;1;1;0;0;2;2;0;0;-73.2426944444444;-39.8158055555555
ARAUCO;-110;650388;5591213;2.77;8.99;1;1;0;0;0;0;0;0;0;-73.2429444444445;-39.8157777777777
ARAUCO;-130;650369;5591216;5.16;9;1;0;1;0;0;0;0;0;0;-73.2431666666667;-39.8157499999999
ARAUCO;-150;650350;5591219;5.01;9;0;0;0;0;0;0;0;0;0;-73.2433888888889;-39.8157222222222
ARAUCO;-170;650329;5591226;6.12;8.97;4;1;2;0;0;1;0;0;0;-73.2436111111111;-39.8156666666666
ARAUCO;-190;650308;5591230;5.02;8.98;0;0;0;0;0;0;0;0;0;-73.2438888888889;-39.8156388888888
ARAUCO;-210;650294;5591236;5.04;8.94;2;1;1;0;0;0;0;0;0;-73.2440555555556;-39.8155833333333
ARAUCO;-230;650272;5591239;5.83;8.96;5;0;2;0;0;3;0;0;0;-73.2443055555556;-39.8155555555555
